   20
0026479571 0.000000 0.669293 0.627751 0.689573 0.693281 0.693281 0.620560
 0.644750 1.086354 0.782060 0.695780 0.626639 0.672081 0.101588 1.153178
 0.721040 0.769944 0.995375 0.625134 0.739162
0026485571 0.669293 0.000000 0.382951 0.434959 0.437627 0.437627 0.388899
 0.402591 0.999305 0.517545 0.436953 0.380665 0.063108 0.622014 1.015616
 0.445347 0.534002 0.783099 0.306359 0.786674
0032109361 0.627751 0.382951 0.000000 0.307399 0.309693 0.309693 0.351888
 0.251502 0.949057 0.508220 0.314743 0.343668 0.365593 0.592823 1.021196
 0.429780 0.499109 0.766861 0.322474 0.642731
0032220691 0.689573 0.434959 0.307399 0.000000 0.001549 0.001549 0.361712
 0.216500 1.072744 0.430478 0.007779 0.360334 0.458867 0.662815 1.070091
 0.409020 0.410822 0.783703 0.372695 0.759157
0032297121 0.693281 0.437627 0.309693 0.001549 0.000000 0.000000 0.359106
 0.218553 1.078881 0.427671 0.006217 0.362757 0.461600 0.666549 1.063951
 0.406292 0.408039 0.783703 0.375261 0.763110
0032348811 0.693281 0.437627 0.309693 0.001549 0.000000 0.000000 0.359106
 0.218553 1.078881 0.427671 0.006217 0.362757 0.461600 0.666549 1.063951
 0.406292 0.408039 0.783703 0.375261 0.763110
0032954001 0.620560 0.388899 0.351888 0.361712 0.359106 0.359106 0.000000
 0.278003 0.971214 0.472282 0.359543 0.357163 0.402101 0.607571 1.148835
 0.392352 0.461275 0.696277 0.286842 0.622668
0033654861 0.644750 0.402591 0.251502 0.216500 0.218553 0.218553 0.278003
 0.000000 0.903852 0.449956 0.216183 0.310123 0.396364 0.612442 1.053757
 0.423453 0.434413 0.789968 0.289512 0.631820
0033758721 1.086354 0.999305 0.949057 1.072744 1.078881 1.078881 0.971214
 0.903852 0.000000 1.261613 1.074855 1.060815 1.008982 1.065156 1.307430
 1.253672 1.206372 1.262278 0.990548 1.205048
0034678321 0.782060 0.517545 0.508220 0.430478 0.427671 0.427671 0.472282
 0.449956 1.261613 0.000000 0.432430 0.516422 0.514138 0.778479 1.035595
 0.374134 0.140259 0.927021 0.454614 0.812609
0034998811 0.695780 0.436953 0.314743 0.007779 0.006217 0.006217 0.359543
 0.216183 1.074855 0.432430 0.000000 0.362246 0.458148 0.661410 1.060503
 0.405813 0.402074 0.777610 0.374703 0.757105
0035205181 0.626639 0.380665 0.343668 0.360334 0.362757 0.362757 0.357163
 0.310123 1.060815 0.516422 0.362246 0.000000 0.383858 0.574089 1.053551
 0.429751 0.498498 0.821606 0.247101 0.686775
0035391011 0.672081 0.063108 0.365593 0.458867 0.461600 0.461600 0.402101
 0.396364 1.008982 0.514138 0.458148 0.383858 0.000000 0.621013 0.974955
 0.438961 0.507453 0.826181 0.292317 0.779876
0035396541 0.101588 0.622014 0.592823 0.662815 0.666549 0.666549 0.607571
 0.612442 1.065156 0.778479 0.661410 0.574089 0.621013 0.000000 1.031460
 0.658434 0.721634 0.999848 0.627383 0.671220
0035562001 1.153178 1.015616 1.021196 1.070091 1.063951 1.063951 1.148835
 1.053757 1.307430 1.035595 1.060503 1.053551 0.974955 1.031460 0.000000
 0.958668 0.954507 1.429078 1.168074 1.180655
0035681911 0.721040 0.445347 0.429780 0.409020 0.406292 0.406292 0.392352
 0.423453 1.253672 0.374134 0.405813 0.429751 0.438961 0.658434 0.958668
 0.000000 0.361164 0.793438 0.383663 0.803639
0037118761 0.769944 0.534002 0.499109 0.410822 0.408039 0.408039 0.461275
 0.434413 1.206372 0.140259 0.402074 0.498498 0.507453 0.721634 0.954507
 0.361164 0.000000 0.889985 0.433492 0.799849
0037297941 0.995375 0.783099 0.766861 0.783703 0.783703 0.783703 0.696277
 0.789968 1.262278 0.927021 0.777610 0.821606 0.826181 0.999848 1.429078
 0.793438 0.889985 0.000000 0.766069 1.060007
0039313561 0.625134 0.306359 0.322474 0.372695 0.375261 0.375261 0.286842
 0.289512 0.990548 0.454614 0.374703 0.247101 0.292317 0.627383 1.168074
 0.383663 0.433492 0.766069 0.000000 0.632349
0037754321 0.739162 0.786674 0.642731 0.759157 0.763110 0.763110 0.622668
 0.631820 1.205048 0.812609 0.757105 0.686775 0.779876 0.671220 1.180655
 0.803639 0.799849 1.060007 0.632349 0.000000
